event,t_pc_ms,t_pc_fmt,block,on_ms,off_ms,rep,duration_ms,cumul_ms,raw_arduino
BASELINE_PC,0,00:00.000,,,,,,,USER_START
SESSION_START,0,00:00.000,,,,,,,"SESSION_START,00:00.000"
BASELINE_START,7,00:00.007,,,,,,,"BASELINE_START,00:00.000,target_ms=20000"
BASELINE_PROGRESS,339218,05:39.218,,,,,,10000,"BASELINE_PROGRESS,05:39.474,cumul_ms=10000"
BASELINE_PROGRESS,371570,06:11.570,,,,,,20000,"BASELINE_PROGRESS,06:11.852,cumul_ms=20000"
BASELINE_DONE,371574,06:11.574,,,,,,,"BASELINE_DONE,06:11.852"
BLOCK_WAIT,371578,06:11.578,,,,,,,"BLOCK_WAIT,06:11.852"
BLOCK_START,372569,06:12.569,B,,,,,,"BLOCK_START,06:12.852,block=B"
STIM_START,372577,06:12.577,B,100,5000,1/10,,,"STIM_START,06:12.852,block=B,on_ms=100,off_ms=5000,rep=1/10"
STIM_END,372671,06:12.671,B,100,,,100,,"STIM_END,06:12.952,block=B,on_ms=100,duration_ms=100"
STIM_START,377669,06:17.669,B,100,5000,2/10,,,"STIM_START,06:17.952,block=B,on_ms=100,off_ms=5000,rep=2/10"
STIM_END,377767,06:17.767,B,100,,,100,,"STIM_END,06:18.052,block=B,on_ms=100,duration_ms=100"
STIM_START,382764,06:22.764,B,100,5000,3/10,,,"STIM_START,06:23.053,block=B,on_ms=100,off_ms=5000,rep=3/10"
STIM_END,382863,06:22.863,B,100,,,100,,"STIM_END,06:23.153,block=B,on_ms=100,duration_ms=100"
BLOCK_WAIT,403729,06:43.729,,,,,,,"BLOCK_WAIT,06:44.033"
SLEEP_END,403733,06:43.733,,,,,,,"SLEEP_END,06:44.033"
